Previous Scores,Hours Studied,Sample Question Papers Practiced,Sleep Hours,Performance_bin,Extracurricular Activities,Previous Scores_scaled
52,1,2,5,2,0,2.0338983050847457
85,1,9,7,6,1,7.627118644067797
66,2,3,6,4,0,4.406779661016949
45,2,3,4,1,1,0.847457627118644
98,6,0,4,9,0,9.830508474576272
45,7,5,7,3,1,0.847457627118644
72,5,1,8,6,1,5.423728813559322
69,1,8,9,4,1,4.915254237288136
85,1,0,8,6,1,7.627118644067797
74,3,0,6,6,1,5.762711864406779
62,2,9,7,4,1,3.7288135593220337
49,5,5,6,3,0,1.5254237288135593
90,6,0,7,8,0,8.474576271186441
58,7,2,6,5,1,3.0508474576271185
90,4,9,7,7,0,8.474576271186441
67,7,1,4,6,1,4.576271186440678
62,8,8,6,5,0,3.7288135593220337
43,1,4,6,1,0,0.5084745762711864
59,6,5,7,4,0,3.2203389830508473
58,8,1,5,5,0,3.0508474576271185
81,5,7,5,7,1,6.9491525423728815
66,4,5,4,5,0,4.406779661016949
96,2,7,8,7,0,9.491525423728813
73,6,7,8,7,0,5.593220338983051
43,6,0,4,2,1,0.5084745762711864
95,1,6,8,7,0,9.322033898305085
77,9,1,9,8,1,6.271186440677966
46,6,7,9,4,1,1.0169491525423728
87,3,1,9,7,0,7.966101694915254
46,4,3,9,2,1,1.0169491525423728
89,4,1,7,7,0,8.305084745762711
91,3,6,5,7,0,8.64406779661017
65,3,4,4,4,0,4.237288135593221
65,3,8,7,5,0,4.237288135593221
93,4,4,9,8,0,8.983050847457626
58,7,7,4,5,0,3.0508474576271185
48,4,1,5,3,0,1.3559322033898304
59,9,2,8,5,1,3.2203389830508473
81,1,5,7,6,1,6.9491525423728815
84,8,6,5,8,0,7.4576271186440675
89,7,9,4,8,0,8.305084745762711
55,2,7,6,3,1,2.542372881355932
93,8,2,7,9,0,8.983050847457626
56,1,6,4,3,1,2.711864406779661
61,9,7,4,6,1,3.559322033898305
52,9,9,5,5,0,2.0338983050847457
51,2,5,4,2,0,1.8644067796610169
49,7,3,7,4,1,1.5254237288135593
40,3,5,9,1,1,0.0
71,7,8,7,7,0,5.254237288135593
69,9,2,4,7,0,4.915254237288136
47,4,1,5,2,1,1.1864406779661016
60,1,4,7,3,1,3.389830508474576
61,2,6,6,3,1,3.559322033898305
57,1,2,9,3,0,2.8813559322033897
41,5,4,8,2,0,0.1694915254237288
87,5,3,5,7,0,7.966101694915254
83,7,6,5,8,1,7.288135593220339
48,9,1,8,4,1,1.3559322033898304
42,9,6,8,4,0,0.3389830508474576
93,3,1,7,7,1,8.983050847457626
65,3,2,4,4,1,4.237288135593221
60,3,4,4,4,1,3.389830508474576
69,4,6,6,5,1,4.915254237288136
67,8,5,9,6,1,4.576271186440678
75,6,6,4,6,0,5.932203389830509
65,8,5,6,6,0,4.237288135593221
73,1,0,6,4,0,5.593220338983051
47,8,4,5,4,0,1.1864406779661016
49,4,0,5,3,0,1.5254237288135593
87,1,6,9,6,1,7.966101694915254
94,8,3,7,9,1,9.152542372881356
82,4,4,8,6,1,7.11864406779661
89,6,0,8,8,0,8.305084745762711
93,8,7,9,9,1,8.983050847457626
53,4,3,6,3,1,2.2033898305084745
79,3,2,9,6,1,6.610169491525424
94,9,0,8,10,0,9.152542372881356
54,3,3,6,4,1,2.3728813559322033
56,9,2,8,6,1,2.711864406779661
92,2,7,7,7,0,8.813559322033898
57,2,8,5,3,0,2.8813559322033897
71,2,4,5,5,1,5.254237288135593
77,6,8,6,7,0,6.271186440677966
62,3,0,9,4,1,3.7288135593220337
85,9,6,8,8,0,7.627118644067797
62,4,6,4,4,1,3.7288135593220337
74,1,5,7,4,1,5.762711864406779
78,4,3,8,6,0,6.440677966101695
54,1,8,4,2,0,2.3728813559322033
92,5,2,7,8,0,8.813559322033898
63,4,0,7,4,0,3.8983050847457625
67,8,1,5,6,1,4.576271186440678
55,8,2,6,5,0,2.542372881355932
55,7,1,8,5,1,2.542372881355932
79,3,5,7,6,1,6.610169491525424
78,1,6,8,5,1,6.440677966101695
45,1,4,7,1,0,0.847457627118644
41,3,4,9,2,1,0.1694915254237288
93,6,6,5,8,1,8.983050847457626
52,7,5,6,4,0,2.0338983050847457
83,6,7,4,7,1,7.288135593220339
86,6,8,4,8,1,7.796610169491525
98,6,1,9,9,1,9.830508474576272
48,3,1,5,2,0,1.3559322033898304
73,6,0,7,6,1,5.593220338983051
56,8,6,5,5,1,2.711864406779661
66,2,3,6,4,1,4.406779661016949
68,5,8,4,5,0,4.745762711864407
76,1,5,8,5,0,6.101694915254237
82,1,6,4,5,0,7.11864406779661
61,5,6,6,5,1,3.559322033898305
90,3,7,7,7,1,8.474576271186441
63,4,3,5,4,1,3.8983050847457625
46,3,2,4,2,1,1.0169491525423728
73,1,2,4,5,1,5.593220338983051
87,1,9,8,6,0,7.966101694915254
51,5,7,5,4,1,1.8644067796610169
62,6,2,8,5,1,3.7288135593220337
54,3,7,8,3,0,2.3728813559322033
72,9,1,7,7,0,5.423728813559322
96,5,4,4,8,1,9.491525423728813
52,8,4,9,5,0,2.0338983050847457
62,1,6,5,3,0,3.7288135593220337
77,5,4,7,6,0,6.271186440677966
71,3,8,9,5,1,5.254237288135593
84,1,2,7,6,0,7.4576271186440675
89,4,8,7,8,1,8.305084745762711
74,5,0,6,6,0,5.762711864406779
40,7,2,6,3,1,0.0
86,1,3,7,7,1,7.796610169491525
97,3,5,6,8,1,9.661016949152541
84,2,9,5,6,0,7.4576271186440675
44,9,7,4,3,0,0.6779661016949152
96,6,6,9,9,0,9.491525423728813
52,3,7,5,3,1,2.0338983050847457
93,8,5,4,9,0,8.983050847457626
44,8,5,6,4,0,0.6779661016949152
99,2,5,9,8,1,10.0
71,6,2,5,6,0,5.254237288135593
90,7,9,8,8,1,8.474576271186441
60,2,3,7,3,0,3.389830508474576
63,2,5,4,4,1,3.8983050847457625
99,1,6,4,8,1,10.0
57,8,2,8,5,0,2.8813559322033897
60,1,3,8,3,1,3.389830508474576
93,9,5,7,10,0,8.983050847457626
49,6,0,6,4,0,1.5254237288135593
63,7,6,5,6,0,3.8983050847457625
79,7,0,5,7,0,6.610169491525424
86,3,9,5,7,1,7.796610169491525
60,2,8,6,4,1,3.389830508474576
64,9,9,7,6,1,4.067796610169491
91,8,8,5,9,0,8.64406779661017
99,7,8,4,9,0,10.0
96,9,3,4,10,1,9.491525423728813
98,4,1,4,8,1,9.830508474576272
62,4,6,8,4,0,3.7288135593220337
61,1,3,8,3,0,3.559322033898305
43,8,4,6,3,0,0.5084745762711864
73,3,0,5,5,1,5.593220338983051
95,7,9,8,10,0,9.322033898305085
45,2,5,4,2,1,0.847457627118644
67,2,6,8,4,0,4.576271186440678
70,7,2,4,6,1,5.084745762711864
74,6,9,5,6,0,5.762711864406779
78,3,1,6,6,1,6.440677966101695
81,9,9,7,8,1,6.9491525423728815
62,6,6,7,5,1,3.7288135593220337
45,6,0,4,3,0,0.847457627118644
55,1,1,8,3,1,2.542372881355932
41,4,2,8,2,1,0.1694915254237288
63,6,3,4,5,0,3.8983050847457625
56,6,4,5,4,1,2.711864406779661
84,5,3,4,7,1,7.4576271186440675
40,1,9,5,1,0,0.0
45,8,2,6,4,1,0.847457627118644
44,5,0,6,3,0,0.6779661016949152
96,5,6,4,8,1,9.491525423728813
84,7,9,6,8,0,7.4576271186440675
99,4,5,8,9,1,10.0
94,6,1,5,8,1,9.152542372881356
89,4,1,7,7,1,8.305084745762711
68,3,2,7,5,0,4.745762711864407
51,7,7,6,4,1,1.8644067796610169
78,8,7,5,7,1,6.440677966101695
86,4,9,8,7,0,7.796610169491525
42,2,9,7,2,0,0.3389830508474576
87,3,9,8,7,0,7.966101694915254
40,1,9,8,1,1,0.0
66,8,7,7,6,1,4.406779661016949
87,3,6,7,7,1,7.966101694915254
63,7,1,6,5,0,3.8983050847457625
83,5,0,5,7,0,7.288135593220339
58,5,5,4,4,1,3.0508474576271185
98,7,7,5,9,1,9.830508474576272
47,9,0,4,4,0,1.1864406779661016
94,5,2,7,9,0,9.152542372881356
83,1,0,8,6,0,7.288135593220339
86,1,9,5,6,1,7.796610169491525
41,2,8,8,1,0,0.1694915254237288
69,6,6,5,6,0,4.915254237288136
69,9,7,9,7,0,4.915254237288136
88,8,8,5,9,0,8.135593220338983
78,5,2,8,6,1,6.440677966101695
84,1,9,9,6,0,7.4576271186440675
71,7,1,6,6,1,5.254237288135593
40,5,5,7,2,1,0.0
77,6,4,6,7,0,6.271186440677966
52,7,3,6,4,0,2.0338983050847457
50,3,5,5,3,1,1.694915254237288
49,3,5,7,2,0,1.5254237288135593
87,5,2,9,8,1,7.966101694915254
98,6,1,5,9,0,9.830508474576272
65,9,8,4,6,1,4.237288135593221
95,5,7,5,8,1,9.322033898305085
94,1,3,9,7,1,9.152542372881356
59,4,5,8,4,0,3.2203389830508473
56,5,2,5,4,1,2.711864406779661
56,5,7,4,4,1,2.711864406779661
43,7,2,5,3,0,0.5084745762711864
44,4,1,9,2,0,0.6779661016949152
99,1,6,4,7,1,10.0
62,5,2,7,4,1,3.7288135593220337
85,7,8,9,8,0,7.627118644067797
91,6,2,5,8,1,8.64406779661017
49,5,7,4,3,0,1.5254237288135593
85,4,1,9,7,0,7.627118644067797
67,2,8,7,4,0,4.576271186440678
72,4,0,8,6,1,5.423728813559322
82,3,2,6,6,0,7.11864406779661
65,1,1,4,3,1,4.237288135593221
94,8,6,8,9,1,9.152542372881356
89,5,4,7,8,0,8.305084745762711
87,4,7,8,7,0,7.966101694915254
68,8,1,5,6,0,4.745762711864407
66,7,7,6,6,0,4.406779661016949
57,2,6,4,3,1,2.8813559322033897
79,1,4,9,5,1,6.610169491525424
99,4,1,7,8,0,10.0
49,8,9,6,4,1,1.5254237288135593
97,2,6,7,8,0,9.661016949152541
81,3,9,8,6,1,6.9491525423728815
44,1,3,7,1,1,0.6779661016949152
49,1,3,7,2,1,1.5254237288135593
89,3,7,8,7,0,8.305084745762711
60,5,5,8,5,1,3.389830508474576
63,3,8,6,4,1,3.8983050847457625
77,1,1,4,5,1,6.271186440677966
42,1,4,8,1,1,0.3389830508474576
79,8,5,6,8,0,6.610169491525424
70,2,7,7,5,1,5.084745762711864
80,3,3,7,6,0,6.779661016949152
76,2,6,9,6,0,6.101694915254237
41,3,6,5,2,1,0.1694915254237288
41,7,3,8,3,1,0.1694915254237288
78,1,0,6,5,0,6.440677966101695
88,8,2,9,9,0,8.135593220338983
81,2,1,6,6,0,6.9491525423728815
83,3,2,4,6,1,7.288135593220339
73,9,4,9,7,1,5.593220338983051
81,7,0,6,7,0,6.9491525423728815
59,4,4,8,4,0,3.2203389830508473
72,5,1,6,5,0,5.423728813559322
43,2,3,5,2,1,0.5084745762711864
84,8,5,7,9,1,7.4576271186440675
83,4,8,7,6,0,7.288135593220339
50,9,9,9,5,1,1.694915254237288
81,5,5,6,7,0,6.9491525423728815
86,9,9,6,9,1,7.796610169491525
44,4,1,6,2,0,0.6779661016949152
64,5,7,6,5,1,4.067796610169491
88,9,4,5,9,1,8.135593220338983
99,8,8,8,10,1,10.0
76,3,9,5,6,1,6.101694915254237
73,1,8,5,5,1,5.593220338983051
48,3,3,5,2,1,1.3559322033898304
45,4,0,7,2,1,0.847457627118644
57,2,8,5,3,0,2.8813559322033897
53,1,8,6,2,0,2.2033898305084745
58,7,7,5,5,0,3.0508474576271185
53,8,4,6,4,1,2.2033898305084745
79,7,4,9,7,1,6.610169491525424
56,5,9,8,4,1,2.711864406779661
99,1,5,7,8,0,10.0
74,7,0,8,7,0,5.762711864406779
68,7,8,9,6,0,4.745762711864407
81,9,4,8,8,0,6.9491525423728815
56,3,6,7,3,0,2.711864406779661
98,9,7,6,10,0,9.830508474576272
82,1,4,9,6,1,7.11864406779661
47,1,2,9,2,0,1.1864406779661016
40,4,5,6,2,1,0.0
84,9,6,6,8,0,7.4576271186440675
92,6,3,7,8,0,8.813559322033898
75,3,8,5,5,1,5.932203389830509
46,1,3,4,2,1,1.0169491525423728
85,4,9,5,7,1,7.627118644067797
44,9,1,5,3,0,0.6779661016949152
63,3,8,8,4,0,3.8983050847457625
67,9,3,4,6,1,4.576271186440678
82,7,3,6,7,0,7.11864406779661
56,4,9,5,4,1,2.711864406779661
76,3,0,7,6,0,6.101694915254237
59,5,1,5,4,0,3.2203389830508473
42,5,2,6,2,0,0.3389830508474576
76,3,6,5,5,1,6.101694915254237
65,9,8,9,6,0,4.237288135593221
54,4,4,8,3,1,2.3728813559322033
90,5,3,8,8,1,8.474576271186441
87,4,1,5,7,1,7.966101694915254
47,5,6,8,3,1,1.1864406779661016
52,7,5,7,4,1,2.0338983050847457
87,9,6,4,9,1,7.966101694915254
42,7,7,5,3,1,0.3389830508474576
40,5,8,7,2,1,0.0
48,7,9,9,4,1,1.3559322033898304
70,5,4,7,5,0,5.084745762711864
80,3,4,7,6,1,6.779661016949152
93,7,3,9,9,0,8.983050847457626
65,2,2,6,4,1,4.237288135593221
56,9,6,5,5,0,2.711864406779661
95,1,4,5,7,0,9.322033898305085
73,6,6,5,6,0,5.593220338983051
48,7,1,4,4,0,1.3559322033898304
95,8,8,7,9,0,9.322033898305085
90,9,8,5,9,0,8.474576271186441
52,2,8,8,3,1,2.0338983050847457
44,2,4,6,2,1,0.6779661016949152
80,5,9,9,7,1,6.779661016949152
52,5,8,9,4,1,2.0338983050847457
40,6,0,4,2,1,0.0
64,3,1,9,4,1,4.067796610169491
86,8,9,6,8,0,7.796610169491525
43,1,4,7,1,1,0.5084745762711864
75,6,4,9,7,0,5.932203389830509
91,4,5,9,8,0,8.64406779661017
49,1,7,8,2,0,1.5254237288135593
67,7,0,7,6,0,4.576271186440678
96,9,9,5,9,0,9.491525423728813
45,4,8,6,3,0,0.847457627118644
66,4,3,9,5,1,4.406779661016949
95,6,7,8,9,0,9.322033898305085
51,3,4,6,3,0,1.8644067796610169
91,6,0,4,8,1,8.64406779661017
87,7,8,8,8,1,7.966101694915254
42,3,7,4,2,1,0.3389830508474576
85,7,4,9,8,1,7.627118644067797
72,3,3,8,5,1,5.423728813559322
49,2,7,5,2,1,1.5254237288135593
70,4,8,6,5,1,5.084745762711864
54,8,6,6,5,0,2.3728813559322033
46,9,3,7,4,1,1.0169491525423728
75,7,6,8,7,0,5.932203389830509
53,1,5,8,3,1,2.2033898305084745
95,3,2,4,7,1,9.322033898305085
87,9,9,8,9,0,7.966101694915254
53,1,2,6,2,1,2.2033898305084745
42,9,0,8,4,1,0.3389830508474576
88,8,4,7,9,1,8.135593220338983
92,1,7,7,7,1,8.813559322033898
85,6,5,6,7,1,7.627118644067797
89,5,7,6,8,1,8.305084745762711
42,6,6,6,3,1,0.3389830508474576
61,5,1,8,5,0,3.559322033898305
58,6,7,8,4,1,3.0508474576271185
74,5,3,5,6,0,5.762711864406779
51,5,4,9,3,0,1.8644067796610169
93,4,7,9,8,0,8.983050847457626
44,3,4,4,2,0,0.6779661016949152
49,3,4,8,3,0,1.5254237288135593
80,4,5,5,7,0,6.779661016949152
72,9,6,5,7,0,5.423728813559322
52,2,8,7,3,1,2.0338983050847457
74,9,6,8,8,1,5.762711864406779
90,1,5,5,7,1,8.474576271186441
71,1,9,7,4,0,5.254237288135593
50,5,3,4,3,1,1.694915254237288
87,6,9,7,8,0,7.966101694915254
77,6,1,4,6,0,6.271186440677966
63,3,8,9,4,1,3.8983050847457625
74,7,9,9,7,0,5.762711864406779
58,9,4,6,6,0,3.0508474576271185
45,8,4,6,4,1,0.847457627118644
79,6,2,7,6,0,6.610169491525424
93,8,2,6,9,1,8.983050847457626
84,5,0,8,7,0,7.4576271186440675
83,8,4,7,8,0,7.288135593220339
81,4,2,5,6,1,6.9491525423728815
74,8,1,8,7,1,5.762711864406779
43,2,8,7,2,1,0.5084745762711864
72,5,9,9,6,0,5.423728813559322
52,9,5,4,5,0,2.0338983050847457
95,4,2,6,8,1,9.322033898305085
75,6,6,6,6,1,5.932203389830509
93,1,8,6,7,1,8.983050847457626
82,9,8,7,8,0,7.11864406779661
58,1,0,8,3,0,3.0508474576271185
82,5,1,4,7,1,7.11864406779661
51,4,7,6,3,1,1.8644067796610169
50,3,0,8,3,1,1.694915254237288
45,6,2,5,3,0,0.847457627118644
51,2,6,9,3,1,1.8644067796610169
66,3,7,5,4,1,4.406779661016949
80,5,4,4,7,1,6.779661016949152
64,9,1,6,6,0,4.067796610169491
81,2,2,5,6,0,6.9491525423728815
42,8,8,9,4,1,0.3389830508474576
42,2,9,8,2,0,0.3389830508474576
59,5,6,8,5,1,3.2203389830508473
67,7,0,5,6,1,4.576271186440678
62,8,2,6,6,1,3.7288135593220337
87,1,8,9,6,1,7.966101694915254
42,6,6,4,3,0,0.3389830508474576
81,1,1,6,6,1,6.9491525423728815
63,2,5,7,4,1,3.8983050847457625
82,1,8,5,6,0,7.11864406779661
79,5,3,7,7,1,6.610169491525424
45,9,9,5,4,0,0.847457627118644
59,6,1,4,5,1,3.2203389830508473
50,1,2,6,2,1,1.694915254237288
71,1,6,9,5,1,5.254237288135593
99,2,3,6,8,1,10.0
66,9,6,5,6,0,4.406779661016949
60,3,4,8,4,1,3.389830508474576
83,1,7,7,6,0,7.288135593220339
87,5,7,9,7,0,7.966101694915254
89,7,4,9,8,0,8.305084745762711
52,6,6,6,4,1,2.0338983050847457
61,1,5,6,3,0,3.559322033898305
74,5,7,5,6,0,5.762711864406779
86,5,8,8,7,0,7.796610169491525
61,6,4,7,5,1,3.559322033898305
67,3,6,8,5,1,4.576271186440678
60,5,0,9,5,0,3.389830508474576
85,7,7,8,8,0,7.627118644067797
57,5,2,5,4,1,2.8813559322033897
70,5,0,8,6,0,5.084745762711864
99,5,5,7,9,0,10.0
85,3,7,9,7,0,7.627118644067797
76,1,2,4,5,1,6.101694915254237
60,5,0,9,5,0,3.389830508474576
53,9,2,4,5,0,2.2033898305084745
64,1,4,7,3,1,4.067796610169491
66,3,7,9,5,0,4.406779661016949
79,4,8,9,6,1,6.610169491525424
99,1,8,9,8,1,10.0
99,1,3,9,8,1,10.0
62,8,7,5,6,0,3.7288135593220337
70,2,4,6,4,0,5.084745762711864
86,8,2,9,8,0,7.796610169491525
99,7,4,5,9,0,10.0
68,2,1,7,4,0,4.745762711864407
86,6,5,9,8,0,7.796610169491525
69,6,0,8,6,0,4.915254237288136
90,3,5,9,7,0,8.474576271186441
65,2,4,9,4,1,4.237288135593221
59,1,8,4,3,0,3.2203389830508473
77,6,6,8,7,0,6.271186440677966
58,5,5,9,4,1,3.0508474576271185
66,9,6,9,7,0,4.406779661016949
64,1,9,9,4,1,4.067796610169491
79,7,4,5,7,0,6.610169491525424
77,5,0,7,6,0,6.271186440677966
91,5,8,4,8,1,8.64406779661017
62,2,4,9,4,1,3.7288135593220337
68,3,3,7,4,0,4.745762711864407
54,7,5,4,4,1,2.3728813559322033
98,6,4,4,9,0,9.830508474576272
42,2,0,4,1,0,0.3389830508474576
49,6,1,9,4,0,1.5254237288135593
54,2,3,5,2,0,2.3728813559322033
95,2,7,9,7,0,9.322033898305085
55,2,4,9,3,0,2.542372881355932
56,3,6,7,3,1,2.711864406779661
58,2,1,6,3,1,3.0508474576271185
50,4,7,6,3,1,1.694915254237288
87,9,4,6,9,0,7.966101694915254
44,6,3,7,3,1,0.6779661016949152
44,1,8,8,1,0,0.6779661016949152
97,8,5,7,10,1,9.661016949152541
53,7,3,4,4,0,2.2033898305084745
89,3,7,9,7,0,8.305084745762711
65,1,2,8,4,0,4.237288135593221
47,5,9,4,3,0,1.1864406779661016
44,4,1,9,2,0,0.6779661016949152
46,8,6,9,4,1,1.0169491525423728
55,1,3,4,2,0,2.542372881355932
94,1,3,7,7,1,9.152542372881356
53,4,9,6,3,0,2.2033898305084745
76,8,8,8,7,0,6.101694915254237
95,5,1,9,8,0,9.322033898305085
80,2,0,5,6,1,6.779661016949152
43,6,6,9,3,0,0.5084745762711864
75,5,7,6,6,1,5.932203389830509
87,2,2,9,6,0,7.966101694915254
95,3,1,5,8,1,9.322033898305085
56,9,3,7,5,1,2.711864406779661
86,7,1,9,9,1,7.796610169491525
75,7,1,8,7,0,5.932203389830509
45,6,4,7,3,0,0.847457627118644
55,8,9,5,5,1,2.542372881355932
68,4,4,4,5,0,4.745762711864407
75,8,7,9,7,0,5.932203389830509
77,4,8,7,6,0,6.271186440677966
76,8,1,9,7,1,6.101694915254237
87,9,0,8,9,1,7.966101694915254
96,3,2,9,8,0,9.491525423728813
87,3,5,7,7,1,7.966101694915254
49,2,4,6,2,0,1.5254237288135593
80,3,7,7,6,0,6.779661016949152
75,3,7,5,5,1,5.932203389830509
68,5,1,7,5,1,4.745762711864407
53,5,8,8,4,0,2.2033898305084745
43,2,3,7,1,0,0.5084745762711864
83,6,0,7,7,0,7.288135593220339
95,5,1,8,9,1,9.322033898305085
81,6,5,7,7,1,6.9491525423728815
75,1,4,8,5,0,5.932203389830509
89,5,6,5,8,0,8.305084745762711
84,9,8,8,9,1,7.4576271186440675
52,2,5,5,2,0,2.0338983050847457
85,1,5,5,6,1,7.627118644067797
57,9,1,8,5,1,2.8813559322033897
72,9,6,7,7,0,5.423728813559322
60,9,1,9,6,0,3.389830508474576
55,6,6,6,4,1,2.542372881355932
54,8,7,9,6,0,2.3728813559322033
93,1,0,8,7,1,8.983050847457626
96,4,8,7,7,1,9.491525423728813
44,1,7,5,1,1,0.6779661016949152
