,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance_bin
85,9,83,1,4,1,81,8
86,7,75,0,6,6,67,7
87,9,99,0,4,1,95,10
88,8,61,1,6,9,58,6
89,2,52,0,9,0,29,3
90,1,46,0,5,5,21,2
91,7,47,1,6,3,38,4
92,7,67,1,8,7,60,6
93,8,84,1,5,0,76,8
94,5,82,1,9,8,69,7
95,3,48,0,7,5,30,3
96,8,64,0,5,1,57,6
97,6,95,1,6,7,81,8
98,3,55,1,5,4,36,3
99,1,49,1,9,4,25,2
100,3,50,0,5,4,27,2
101,5,70,1,9,6,61,6
102,3,51,0,7,6,34,3
103,1,99,0,6,9,76,8
104,5,70,0,8,6,57,6
105,7,53,0,5,9,45,4
106,7,90,1,4,1,76,8
107,9,83,1,8,7,83,9
108,3,71,1,5,0,50,5
109,7,89,0,8,1,81,8
110,1,92,0,4,6,66,7
111,4,56,1,8,3,38,4
112,4,74,0,8,9,56,6
113,5,40,0,4,9,25,2
114,7,68,0,4,8,56,6
115,7,90,1,4,8,82,8
116,4,43,1,7,2,23,2
117,7,62,1,9,2,56,6
118,3,67,0,9,8,46,4
119,6,55,1,4,9,43,4
120,2,51,1,9,7,30,3
121,9,92,1,8,0,92,10
122,5,60,0,4,5,45,4
123,6,84,0,5,6,70,7
124,4,56,0,4,7,36,3
125,7,79,0,4,1,71,7
126,9,52,0,9,0,49,5
127,7,91,1,6,3,82,8
128,1,97,1,8,0,71,7
129,1,71,0,9,1,43,4
130,9,76,0,8,2,77,8
131,9,89,1,5,3,86,9
132,4,54,0,7,5,34,3
133,9,51,0,6,7,49,5
134,3,88,0,5,8,69,7
135,7,96,0,5,3,84,9
136,6,54,0,8,0,41,4
137,8,73,1,6,4,68,7
138,9,45,1,8,4,44,4
139,5,56,0,7,8,41,4
140,1,87,0,8,5,58,6
141,3,88,1,4,4,68,7
142,8,96,0,8,9,94,10
143,6,59,1,4,9,47,5
144,8,48,0,5,4,40,4
145,9,98,1,7,7,100,10
146,4,44,1,9,0,23,2
147,1,62,0,4,4,36,3
148,1,72,0,7,0,47,5
149,4,77,1,8,6,60,6
150,7,95,0,9,6,83,9
151,2,53,1,8,9,33,3
152,3,56,0,5,7,36,3
153,1,96,0,8,6,74,8
154,5,58,0,4,8,42,4
155,1,72,1,5,7,47,5
156,8,40,1,7,7,31,3
157,1,52,0,5,2,26,2
158,1,85,1,7,9,58,6
159,2,66,0,6,3,42,4
160,2,45,1,4,3,18,1
161,6,98,0,4,0,85,9
162,7,45,1,7,5,36,3
163,5,72,1,8,1,58,6
164,1,69,1,9,8,45,4
165,1,85,1,8,0,60,6
166,3,74,1,6,0,56,6
167,2,62,1,7,9,42,4
168,5,49,0,6,5,33,3
169,6,90,0,7,0,77,8
170,7,58,1,6,2,51,5
171,4,90,0,7,9,72,7
172,7,67,1,4,1,57,6
173,8,62,0,6,8,53,5
174,1,43,0,6,4,16,1
175,6,59,0,7,5,45,4
176,8,58,0,5,1,49,5
177,5,81,1,5,7,67,7
178,4,66,0,4,5,49,5
179,2,96,0,8,7,73,7
180,6,73,0,8,7,65,7
181,6,43,1,4,0,27,2
182,1,95,0,8,6,72,7
183,9,77,1,9,1,74,8
184,6,46,1,9,7,38,4
185,3,87,0,9,1,67,7
186,4,46,1,9,3,28,2
187,4,89,0,7,1,73,7
188,3,91,0,5,6,72,7
189,3,65,0,4,4,42,4
190,3,65,0,7,8,47,5
191,4,93,0,9,4,77,8
192,7,58,0,4,7,49,5
193,4,48,0,5,1,30,3
194,9,59,1,8,2,54,5
195,1,81,1,7,5,56,6
196,8,84,0,5,6,75,8
197,7,89,0,4,9,78,8
198,2,55,1,6,7,32,3
199,8,93,0,7,2,89,9
200,1,56,1,4,6,29,3
201,9,61,1,4,7,57,6
202,9,52,0,5,9,48,5
203,2,51,0,4,5,27,2
204,7,49,1,7,3,38,4
205,3,40,1,9,5,18,1
206,7,71,0,7,8,66,7
207,9,69,0,4,2,65,7
208,4,47,1,5,1,27,2
209,1,60,1,7,4,33,3
210,2,61,1,6,6,37,3
211,1,57,0,9,2,29,3
212,5,41,0,8,4,26,2
213,5,87,0,5,3,72,7
214,7,83,1,5,6,77,8
215,9,48,1,8,1,45,4
216,9,42,0,8,6,41,4
217,3,93,1,7,1,73,7
218,3,65,1,4,2,43,4
219,3,60,1,4,4,39,4
220,4,69,1,6,6,54,5
221,8,67,1,9,5,62,6
222,6,75,0,4,6,63,6
223,8,65,0,6,5,59,6
224,1,73,0,6,0,46,4
225,8,47,0,5,4,42,4
226,4,49,0,5,0,30,3
227,1,87,1,9,6,63,6
228,8,94,1,7,3,89,9
229,4,82,1,8,4,62,6
230,6,89,0,8,0,77,8
231,8,93,1,9,7,88,9
232,4,53,1,6,3,35,3
233,3,79,1,9,2,60,6
234,9,94,0,8,0,92,10
235,3,54,1,6,3,38,4
236,9,56,1,8,2,56,6
237,2,92,0,7,7,70,7
238,2,57,0,5,8,35,3
239,2,71,1,5,4,47,5
240,6,77,0,6,8,66,7
241,3,62,1,9,0,43,4
242,9,85,0,8,6,81,8
243,4,62,1,4,6,43,4
244,1,74,1,7,5,46,4
245,4,78,0,8,3,61,6
246,1,54,0,4,8,27,2
247,5,92,0,7,2,77,8
248,4,63,0,7,0,43,4
249,8,67,1,5,1,60,6
250,8,55,0,6,2,48,5
251,7,55,1,8,1,47,5
252,3,79,1,7,5,60,6
253,1,78,1,8,6,53,5
254,1,45,0,7,4,19,1
255,3,41,1,9,4,23,2
256,6,93,1,5,6,81,8
257,7,52,0,6,5,41,4
258,6,83,1,4,7,71,7
259,6,86,1,4,8,75,8
260,6,98,1,9,1,89,9
261,3,48,0,5,1,28,2
262,6,73,1,7,0,60,6
263,8,56,1,5,6,54,5
264,2,66,1,6,3,41,4
265,5,68,0,4,8,52,5
266,1,76,0,8,5,53,5
267,1,82,0,4,6,52,5
268,5,61,1,6,6,47,5
269,3,90,1,7,7,71,7
270,4,63,1,5,3,42,4
271,3,46,1,4,2,21,2
272,1,73,1,4,2,48,5
273,1,87,0,8,9,64,6
274,5,51,1,5,7,38,4
275,6,62,1,8,2,49,5
276,3,54,0,8,7,35,3
277,9,72,0,7,1,73,7
278,5,96,1,4,4,81,8
279,8,52,0,9,4,47,5
280,1,62,0,5,6,36,3
281,5,77,0,7,4,63,6
282,3,71,1,9,8,52,5
283,1,84,0,7,2,58,6
284,4,89,1,7,8,77,8
285,5,74,0,6,0,58,6
286,7,40,1,6,2,33,3
287,1,86,1,7,3,67,7
288,3,97,1,6,5,76,8
289,2,84,0,5,9,62,6
290,9,44,0,4,7,37,3
291,6,96,0,9,6,86,9
292,3,52,1,5,7,37,3
293,8,93,0,4,5,88,9
294,8,44,0,6,5,38,4
295,2,99,1,9,5,76,8
296,6,71,0,5,2,57,6
297,7,90,1,8,9,82,8
298,2,60,0,7,3,35,3
299,2,63,1,4,5,41,4
300,1,99,1,4,6,75,8
301,8,57,0,8,2,51,5
302,1,60,1,8,3,34,3
303,9,93,0,7,5,92,10
304,6,49,0,6,0,39,4
305,7,63,0,5,6,56,6
306,7,79,0,5,0,69,7
307,3,86,1,5,9,69,7
308,2,60,1,6,8,40,4
309,9,64,1,7,9,63,6
310,8,91,0,5,8,86,9
311,7,99,0,4,8,89,9
312,9,96,1,4,3,94,10
313,4,98,1,4,1,79,8
314,4,62,0,8,6,44,4
315,1,61,0,8,3,33,3
316,8,43,0,6,4,36,3
317,3,73,1,5,0,50,5
318,7,95,0,8,9,94,10
319,2,45,1,4,5,22,2
320,2,67,0,8,6,44,4
321,7,70,1,4,2,60,6
322,6,74,0,5,9,64,6
323,3,78,1,6,1,58,6
324,9,81,1,7,9,78,8
325,6,62,1,7,6,51,5
326,6,45,0,4,0,30,3
327,1,55,1,8,1,29,3
328,4,41,1,8,2,22,2
329,6,63,0,4,3,51,5
330,6,56,1,5,4,45,4
331,5,84,1,4,3,70,7
332,1,40,0,5,9,10,1
333,8,45,1,6,2,38,4
334,5,44,0,6,0,30,3
335,5,96,1,4,6,82,8
336,7,84,0,6,9,74,8
337,4,99,1,8,5,87,9
338,6,94,1,5,1,77,8
339,4,89,1,7,1,72,7
340,3,68,0,7,2,51,5
341,7,51,1,6,7,40,4
342,8,78,1,5,7,72,7
343,4,86,0,8,9,68,7
344,2,42,0,7,9,22,2
345,3,87,0,8,9,67,7
346,1,40,1,8,9,18,1
347,8,66,1,7,7,64,6
348,3,87,1,7,6,66,7
349,7,63,0,6,1,50,5
350,5,83,0,5,0,68,7
351,5,58,1,4,5,44,4
352,7,98,1,5,7,90,9
353,9,47,0,4,0,41,4
354,5,94,0,7,2,83,9
355,1,83,0,8,0,57,6
356,1,86,1,5,9,64,6
357,2,41,0,8,8,18,1
358,6,69,0,5,6,62,6
359,9,69,0,9,7,66,7
360,8,88,0,5,8,85,9
361,5,78,1,8,2,62,6
362,1,84,0,9,9,62,6
363,7,71,1,6,1,62,6
364,5,40,1,7,5,26,2
365,6,77,0,6,4,66,7
366,7,52,0,6,3,43,4
367,3,50,1,5,5,30,3
368,3,49,0,7,5,25,2
369,5,87,1,9,2,77,8
370,6,98,0,5,1,88,9
371,9,65,1,4,8,62,6
372,5,95,1,5,7,82,8
373,1,94,1,9,3,73,7
374,4,59,0,8,5,44,4
375,5,56,1,5,2,40,4
376,5,56,1,4,7,39,4
377,7,43,0,5,2,34,3
378,4,44,0,9,1,27,2
379,1,99,1,4,6,73,7
380,5,62,1,7,2,46,4
381,7,85,0,9,8,78,8
382,6,91,1,5,2,80,8
383,5,49,0,4,7,33,3
384,4,85,0,9,1,68,7
385,2,67,0,7,8,45,4
386,4,72,1,8,0,56,6
387,3,82,0,6,2,58,6
388,1,65,1,4,1,37,3
389,8,94,1,8,6,88,9
390,5,89,0,7,4,75,8
391,4,87,0,8,7,70,7
392,8,68,0,5,1,62,6
393,7,66,0,6,7,57,6
394,2,57,1,4,6,32,3
395,1,79,1,9,4,53,5
396,4,99,0,7,1,82,8
397,8,49,1,6,9,41,4
398,2,97,0,7,6,75,8
399,3,81,1,8,9,63,6
400,1,44,1,7,3,17,1
401,1,49,1,7,3,24,2
402,3,89,0,8,7,69,7
403,5,60,1,8,5,47,5
404,3,63,1,6,8,43,4
405,1,77,1,4,1,48,5
406,1,42,1,8,4,17,1
407,8,79,0,6,5,75,8
408,2,70,1,7,7,54,5
409,3,80,0,7,3,59,6
410,2,76,0,9,6,56,6
411,3,41,1,5,6,20,2
412,7,41,1,8,3,34,3
413,1,78,0,6,0,54,5
414,8,88,0,9,2,83,9
415,2,81,0,6,1,59,6
416,3,83,1,4,2,63,6
417,9,73,1,9,4,72,7
418,7,81,0,6,0,70,7
419,4,59,0,8,4,41,4
420,5,72,0,6,1,54,5
421,2,43,1,5,3,21,2
422,8,84,1,7,5,83,9
423,4,83,0,7,8,64,6
424,9,50,1,9,9,51,5
425,5,81,0,6,5,66,7
426,9,86,1,6,9,83,9
427,4,44,0,6,1,26,2
428,5,64,1,6,7,49,5
429,9,88,1,5,4,85,9
430,8,99,1,8,8,95,10
431,3,76,1,5,9,56,6
432,1,73,1,5,8,50,5
433,3,48,1,5,3,23,2
434,4,45,1,7,0,26,2
435,2,57,0,5,8,30,3
436,1,53,0,6,8,28,2
437,7,58,0,5,7,48,5
438,8,53,1,6,4,46,4
439,7,79,1,9,4,73,7
440,5,56,1,8,9,45,4
441,1,99,0,7,5,76,8
442,7,74,0,8,0,71,7
443,7,68,0,9,8,60,6
444,9,81,0,8,4,77,8
445,3,56,0,7,6,36,3
446,9,98,0,6,7,96,10
447,1,82,1,9,4,62,6
448,1,47,0,9,2,22,2
449,4,40,1,6,5,21,2
450,9,84,0,6,6,79,8
451,6,92,0,7,3,82,8
452,3,75,1,5,8,55,5
453,1,46,1,4,3,22,2
454,4,85,1,5,9,70,7
455,9,44,0,5,1,37,3
456,3,63,0,8,8,42,4
457,9,67,1,4,3,64,6
458,7,82,0,6,3,72,7
459,4,56,1,5,9,42,4
460,3,76,0,7,0,56,6
461,5,59,0,5,1,43,4
462,5,42,0,6,2,24,2
463,3,76,1,5,6,55,5
464,9,65,0,9,8,64,6
465,4,54,1,8,4,34,3
466,5,90,1,8,3,78,8
467,4,87,1,5,1,71,7
468,5,47,1,8,6,33,3
469,7,52,1,7,5,46,4
470,9,87,1,4,6,86,9
471,7,42,1,5,7,34,3
472,5,40,1,7,8,26,2
473,7,48,1,9,9,44,4
474,5,70,0,7,4,53,5
475,3,80,1,7,4,61,6
476,7,93,0,9,3,84,9
477,2,65,1,6,2,40,4
478,9,56,0,5,6,53,5
479,1,95,0,5,4,67,7
480,6,73,0,5,6,58,6
481,7,48,0,4,1,41,4
482,8,95,0,7,8,89,9
483,9,90,0,5,8,85,9
484,2,52,1,8,8,33,3
485,2,44,1,6,4,20,2
486,5,80,1,9,9,66,7
487,5,52,1,9,8,38,4
488,6,40,1,4,0,25,2
489,3,64,1,9,1,43,4
490,8,86,0,6,9,79,8
491,1,43,1,7,4,16,1
492,6,75,0,9,4,67,7
493,4,91,0,9,5,80,8
494,1,49,0,8,7,26,2
495,7,67,0,7,0,57,6
496,9,96,0,5,9,91,9
497,4,45,0,6,8,29,3
498,4,66,1,9,3,48,5
499,6,95,0,8,7,84,9
500,3,51,0,6,4,33,3
501,6,91,1,4,0,82,8
502,7,87,1,8,8,81,8
503,3,42,1,4,7,24,2
504,7,85,1,9,4,81,8
505,3,72,1,8,3,54,5
506,2,49,1,5,7,25,2
507,4,70,1,6,8,53,5
508,8,54,0,6,6,48,5
509,9,46,1,7,3,40,4
510,7,75,0,8,6,66,7
511,1,53,1,8,5,29,3
512,3,95,1,4,2,73,7
513,9,87,0,8,9,89,9
514,1,53,1,6,2,27,2
515,9,42,1,8,0,40,4
516,8,88,1,7,4,83,9
517,1,92,1,7,7,69,7
518,6,85,1,6,5,72,7
519,5,89,1,6,7,77,8
520,6,42,1,6,6,32,3
521,5,61,0,8,1,49,5
522,6,58,1,8,7,44,4
523,5,74,0,5,3,57,6
524,5,51,0,9,4,34,3
525,4,93,0,9,7,76,8
526,3,44,0,4,4,22,2
527,3,49,0,8,4,30,3
528,4,80,0,5,5,67,7
529,9,72,0,5,6,71,7
530,2,52,1,7,8,29,3
531,9,74,1,8,6,74,8
532,1,90,1,5,5,67,7
533,1,71,0,7,9,46,4
534,5,50,1,4,3,34,3
535,6,87,0,7,9,76,8
536,6,77,0,4,1,64,6
537,3,63,1,9,8,46,4
538,7,74,0,9,9,68,7
539,9,58,0,6,4,58,6
540,8,45,1,6,4,41,4
541,6,79,0,7,2,64,6
542,8,93,1,6,2,84,9
543,5,84,0,8,0,70,7
544,8,83,0,7,4,77,8
545,4,81,1,5,2,60,6
546,8,74,1,8,1,65,7
547,2,43,1,7,8,21,2
548,5,72,0,9,9,60,6
549,9,52,0,4,5,48,5
550,4,95,1,6,2,77,8
551,6,75,1,6,6,63,6
552,1,93,1,6,8,68,7
553,9,82,0,7,8,81,8
554,1,58,0,8,0,29,3
555,5,82,1,4,1,66,7
556,4,51,1,6,7,36,3
557,3,50,1,8,0,29,3
558,6,45,0,5,2,32,3
559,2,51,1,9,6,31,3
560,3,66,1,5,7,45,4
561,5,80,1,4,4,65,7
562,9,64,0,6,1,57,6
563,2,81,0,5,2,58,6
564,8,42,1,9,8,38,4
565,2,42,0,8,9,22,2
566,5,59,1,8,6,48,5
567,7,67,1,5,0,59,6
568,8,62,1,6,2,58,6
569,1,87,1,9,8,62,6
570,6,42,0,4,6,30,3
571,1,81,1,6,1,56,6
572,2,63,1,7,5,40,4
573,1,82,0,5,8,59,6
574,5,79,1,7,3,65,7
575,9,45,0,5,9,43,4
576,6,59,1,4,1,48,5
577,1,50,1,6,2,24,2
578,1,71,1,9,6,51,5
579,2,99,1,6,3,81,8
580,9,66,0,5,6,62,6
581,3,60,1,8,4,43,4
582,1,83,0,7,7,63,6
583,5,87,0,9,7,73,7
584,7,89,0,9,4,76,8
585,6,52,1,6,6,43,4
586,1,61,0,6,5,34,3
587,5,74,0,5,7,57,6
588,5,86,0,8,8,72,7
589,6,61,1,7,4,47,5
590,3,67,1,8,6,52,5
591,5,60,0,9,0,49,5
592,7,85,0,8,7,77,8
593,5,57,1,5,2,41,4
594,5,70,0,8,0,56,6
595,5,99,0,7,5,89,9
596,3,85,0,9,7,65,7
597,1,76,1,4,2,49,5
598,5,60,0,9,0,48,5
599,9,53,0,4,2,47,5
600,1,64,1,7,4,37,3
601,3,66,0,9,7,48,5
602,4,79,1,9,8,61,6
603,1,99,1,9,8,77,8
604,1,99,1,9,3,75,8
605,8,62,0,5,7,57,6
606,2,70,0,6,4,45,4
607,8,86,0,9,2,82,8
608,7,99,0,5,4,90,9
609,2,68,0,7,1,42,4
610,6,86,0,9,5,74,8
611,6,69,0,8,0,60,6
612,3,90,0,9,5,73,7
613,2,65,1,9,4,40,4
614,1,59,0,4,8,32,3
615,6,77,0,8,6,67,7
616,5,58,1,9,5,46,4
617,9,66,0,9,6,65,7
618,1,64,1,9,9,42,4
619,7,79,0,5,4,69,7
620,5,77,0,7,0,62,6
621,5,91,1,4,8,75,8
622,2,62,1,9,4,40,4
623,3,68,0,7,3,43,4
624,7,54,1,4,5,42,4
625,6,98,0,4,4,84,9
626,2,42,0,4,0,15,1
627,6,49,0,9,1,39,4
628,2,54,0,5,3,26,2
629,2,95,0,9,7,73,7
630,2,55,0,9,4,34,3
631,3,56,1,7,6,34,3
632,2,58,1,6,1,37,3
633,4,50,1,6,7,34,3
634,9,87,0,6,4,85,9
635,6,44,1,7,3,31,3
636,1,44,0,8,8,18,1
637,8,97,1,7,5,92,10
638,7,53,0,4,3,44,4
639,3,89,0,9,7,72,7
640,1,65,0,8,2,40,4
641,5,47,0,4,9,31,3
642,4,44,0,9,1,25,2
643,8,46,1,9,6,44,4
644,1,55,0,4,3,27,2
645,1,94,1,7,3,66,7
646,4,53,0,6,9,34,3
647,8,76,0,8,8,70,7
648,5,95,0,9,1,81,8
649,2,80,1,5,0,56,6
650,6,43,0,9,6,30,3
651,5,75,1,6,7,60,6
652,2,87,0,9,2,64,6
653,3,95,1,5,1,74,8
654,9,56,1,7,3,52,5
655,7,86,1,9,1,84,9
656,7,75,0,8,1,66,7
657,6,45,0,7,4,32,3
658,8,55,1,5,9,47,5
659,4,68,0,4,4,51,5
660,8,75,0,9,7,67,7
661,4,77,0,7,8,57,6
662,8,76,1,9,1,71,7
663,9,87,1,8,0,86,9
664,3,96,0,9,2,77,8
665,3,87,1,7,5,72,7
666,2,49,0,6,4,24,2
667,3,80,0,7,7,60,6
668,3,75,1,5,7,55,5
669,5,68,1,7,1,54,5
670,5,53,0,8,8,39,4
671,2,43,0,7,3,19,1
672,6,83,0,7,0,68,7
673,5,95,1,8,1,83,9
674,6,81,1,7,5,72,7
675,1,75,0,8,4,49,5
676,5,89,0,5,6,74,8
677,9,84,1,8,8,86,9
678,2,52,0,5,5,26,2
679,1,85,1,5,5,60,6
680,9,57,1,8,1,54,5
681,9,72,0,7,6,73,7
682,9,60,0,9,1,61,6
683,6,55,1,6,6,45,4
684,8,54,0,9,7,57,6
685,1,93,1,8,0,68,7
686,4,96,1,7,8,72,7
687,1,44,1,5,7,17,1
688,8,45,0,4,8,37,3
689,1,77,0,6,4,54,5
690,3,42,0,9,3,22,2
691,4,87,1,7,0,73,7
692,8,51,1,6,8,47,5
693,6,75,1,4,3,63,6
694,7,72,1,4,3,63,6
695,8,75,0,4,3,68,7
696,2,72,0,9,1,52,5
697,8,70,0,8,3,64,6
698,3,60,1,6,1,38,4
699,7,66,1,8,7,60,6
700,3,66,0,4,6,45,4
701,7,47,1,7,9,39,4
702,2,95,0,4,1,75,8
703,6,76,1,8,1,67,7
704,3,71,1,4,1,48,5
705,3,65,1,4,0,44,4
706,9,41,1,8,5,37,3
707,7,51,1,8,5,41,4
708,5,61,0,7,0,47,5
709,7,56,0,8,0,45,4
710,9,46,0,7,5,43,4
711,1,82,1,5,5,54,5
712,7,43,0,5,3,32,3
713,6,76,0,8,2,64,6
714,9,77,1,4,8,74,8
715,1,71,1,6,5,50,5
716,4,50,0,4,0,33,3
717,9,40,0,8,2,36,3
718,4,64,0,7,0,45,4
719,3,81,0,4,2,58,6
720,9,91,0,5,1,85,9
721,2,63,1,9,4,41,4
722,4,92,0,8,2,78,8
723,6,82,0,4,6,63,6
724,2,95,0,9,7,76,8
725,8,56,0,4,6,51,5
726,8,47,0,7,1,36,3
727,1,98,0,7,9,74,8
728,3,84,1,7,9,65,7
729,9,66,1,9,6,65,7
730,5,91,1,6,9,79,8
731,6,57,0,9,2,46,4
732,4,66,0,8,6,47,5
733,2,61,1,8,0,42,4
734,8,55,0,5,1,46,4
735,6,41,0,5,9,34,3
736,5,44,0,8,0,27,2
737,9,57,1,4,8,52,5
738,1,42,1,8,1,17,1
739,5,66,1,6,1,53,5
740,6,93,0,5,5,84,9
741,5,56,1,5,6,39,4
742,6,55,1,9,1,44,4
743,6,45,1,5,3,36,3
744,7,90,0,8,2,81,8
745,4,46,1,5,4,30,3
746,8,89,1,5,8,80,8
747,7,53,0,9,1,41,4
748,9,77,1,8,4,77,8
749,7,79,0,4,7,69,7
750,3,54,0,5,5,34,3
751,3,86,1,5,3,64,6
752,8,86,1,5,9,78,8
753,5,87,1,6,7,74,8
754,4,72,0,8,2,52,5
755,8,82,1,5,3,76,8
756,6,66,1,6,8,53,5
757,2,68,1,4,4,46,4
758,4,96,0,4,5,77,8
759,4,76,0,9,1,59,6
760,6,44,0,9,8,35,3
761,6,68,1,9,7,61,6
762,1,71,1,6,6,46,4
763,8,99,0,4,8,97,10
764,6,92,1,9,4,86,9
765,3,45,1,7,4,24,2
766,9,41,0,9,8,37,3
767,2,45,0,4,4,18,1
768,8,85,0,7,8,84,9
769,3,82,1,6,0,59,6
770,5,43,1,7,9,29,3
771,6,95,1,4,9,84,9
772,6,68,0,5,7,60,6
773,4,98,0,7,2,78,8
774,3,64,1,4,7,46,4
775,4,48,0,9,4,31,3
776,1,95,0,5,1,68,7
777,4,42,1,6,8,25,2
778,1,65,0,6,3,37,3
779,1,87,1,8,6,62,6
780,6,82,0,6,7,69,7
781,5,66,1,8,6,50,5
782,4,75,0,6,5,55,5
783,3,71,1,6,6,54,5
784,1,40,0,6,3,12,1
785,6,96,0,8,9,88,9
786,2,92,0,9,0,69,7
787,8,93,0,8,4,88,9
788,5,55,0,7,7,41,4
789,7,90,1,4,9,83,9
790,2,87,1,4,5,62,6
791,8,50,1,9,4,45,4
792,2,65,0,4,1,42,4
793,4,79,1,6,9,65,7
794,1,94,0,9,4,73,7
795,5,40,0,4,9,23,2
796,9,65,1,8,2,61,6
797,1,67,1,7,1,41,4
798,9,92,0,5,2,85,9
799,8,97,0,7,3,93,10
800,6,48,1,4,1,35,3
801,7,99,1,9,3,92,10
802,3,98,0,4,3,79,8
803,1,83,0,8,5,57,6
804,5,61,1,7,4,49,5
805,2,47,0,8,6,28,2
806,5,97,0,8,6,85,9
807,8,88,1,5,2,82,8
808,9,81,1,8,8,80,8
809,2,66,0,8,6,41,4
810,3,78,0,5,6,57,6
811,3,58,1,6,1,41,4
812,1,64,0,6,9,43,4
813,8,77,1,9,2,73,7
814,6,60,0,5,2,46,4
815,8,63,1,9,5,61,6
816,9,63,0,9,3,61,6
817,5,99,0,8,3,87,9
818,3,99,0,9,0,78,8
819,5,58,1,4,5,43,4
820,5,89,1,7,7,75,8
821,5,86,1,4,7,72,7
822,3,41,0,4,7,18,1
823,4,53,0,8,4,36,3
824,9,92,1,7,9,92,10
825,9,71,1,9,5,71,7
826,2,81,0,7,4,58,6
827,8,71,0,9,3,69,7
828,8,67,0,6,3,58,6
829,7,87,0,5,3,74,8
830,8,78,1,8,3,72,7
831,3,79,1,9,5,61,6
832,6,81,0,9,5,74,8
833,1,86,0,7,4,60,6
834,7,79,0,8,8,70,7
835,1,52,1,9,7,27,2
836,9,51,1,6,9,49,5
837,1,47,0,4,5,17,1
838,1,54,0,9,8,34,3
839,7,65,0,7,4,51,5
840,2,51,0,6,9,27,2
841,5,82,0,8,3,67,7
842,8,90,0,9,5,84,9
843,8,85,1,6,3,81,8
844,3,66,1,6,7,45,4
845,7,57,1,6,6,50,5
846,3,84,0,6,4,67,7
847,6,75,0,6,9,67,7
848,6,88,0,6,5,77,8
849,3,90,1,5,6,70,7
850,7,66,0,8,1,59,6
851,3,48,1,4,8,27,2
852,8,94,0,8,6,88,9
853,4,78,0,7,7,60,6
854,1,40,0,7,4,14,1
855,4,46,1,8,2,27,2
856,7,65,1,6,1,54,5
857,4,46,1,5,1,32,3
858,6,91,0,4,2,79,8
859,9,46,1,9,0,44,4
860,1,47,0,9,0,20,2
861,5,55,0,6,6,42,4
862,7,42,1,8,9,33,3
863,1,84,1,9,7,58,6
864,4,49,0,8,5,31,3
865,6,89,0,5,6,75,8
866,2,46,0,5,0,22,2
