Unnamed: 0,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Performance_bin,Language Spoken
297,7,90,1,8,9,82,8,Manipuri
298,2,60,0,7,3,35,3,Sanskrit
299,2,63,1,4,5,41,4,Marathi
300,1,99,1,4,6,75,8,Nepali
301,8,57,0,8,2,51,5,Nepali
302,1,60,1,8,3,34,3,Maithili
303,9,93,0,7,5,92,10,Bhili
304,6,49,0,6,0,39,4,Bengali
305,7,63,0,5,6,56,6,Garo
306,7,79,0,5,0,69,7,Urdu
307,3,86,1,5,9,69,7,Marathi
308,2,60,1,6,8,40,4,Meitei
309,9,64,1,7,9,63,6,Telugu
310,8,91,0,5,8,86,9,Manipuri
311,7,99,0,4,8,89,9,Bodo
312,9,96,1,4,3,94,10,Bhili
313,4,98,1,4,1,79,8,Santali
314,4,62,0,8,6,44,4,Bodo
315,1,61,0,8,3,33,3,Marathi
316,8,43,0,6,4,36,3,Kashmiri
317,3,73,1,5,0,50,5,Konkani
318,7,95,0,8,9,94,10,Garo
319,2,45,1,4,5,22,2,Bodo
320,2,67,0,8,6,44,4,Bodo
321,7,70,1,4,2,60,6,Punjabi
322,6,74,0,5,9,64,6,Santali
323,3,78,1,6,1,58,6,Malayalam
324,9,81,1,7,9,78,8,Sanskrit
325,6,62,1,7,6,51,5,Dogri
326,6,45,0,4,0,30,3,Kannada
327,1,55,1,8,1,29,3,Marathi
328,4,41,1,8,2,22,2,Sindhi
329,6,63,0,4,3,51,5,Mizo
330,6,56,1,5,4,45,4,Hindi
331,5,84,1,4,3,70,7,Mizo
332,1,40,0,5,9,10,1,Tamil
333,8,45,1,6,2,38,4,Assamese
334,5,44,0,6,0,30,3,Kashmiri
335,5,96,1,4,6,82,8,Telugu
336,7,84,0,6,9,74,8,Sanskrit
337,4,99,1,8,5,87,9,English
338,6,94,1,5,1,77,8,Dogri
339,4,89,1,7,1,72,7,Bengali
340,3,68,0,7,2,51,5,Tamil
341,7,51,1,6,7,40,4,Kannada
342,8,78,1,5,7,72,7,Sindhi
343,4,86,0,8,9,68,7,Kashmiri
344,2,42,0,7,9,22,2,Urdu
345,3,87,0,8,9,67,7,Mizo
346,1,40,1,8,9,18,1,Marathi
347,8,66,1,7,7,64,6,Bodo
348,3,87,1,7,6,66,7,Garo
349,7,63,0,6,1,50,5,Maithili
350,5,83,0,5,0,68,7,Nepali
351,5,58,1,4,5,44,4,Kashmiri
352,7,98,1,5,7,90,9,Malayalam
353,9,47,0,4,0,41,4,Bodo
354,5,94,0,7,2,83,9,Sanskrit
355,1,83,0,8,0,57,6,Kashmiri
356,1,86,1,5,9,64,6,Malayalam
357,2,41,0,8,8,18,1,Bodo
358,6,69,0,5,6,62,6,Kashmiri
359,9,69,0,9,7,66,7,Kannada
360,8,88,0,5,8,85,9,Khasi
361,5,78,1,8,2,62,6,Malayalam
362,1,84,0,9,9,62,6,Punjabi
363,7,71,1,6,1,62,6,Sanskrit
364,5,40,1,7,5,26,2,Tamil
365,6,77,0,6,4,66,7,Santali
366,7,52,0,6,3,43,4,Khasi
367,3,50,1,5,5,30,3,Bhili
368,3,49,0,7,5,25,2,Santali
369,5,87,1,9,2,77,8,Odia
370,6,98,0,5,1,88,9,Marathi
371,9,65,1,4,8,62,6,Bengali
372,5,95,1,5,7,82,8,Mizo
373,1,94,1,9,3,73,7,Marathi
374,4,59,0,8,5,44,4,Hindi
375,5,56,1,5,2,40,4,English
376,5,56,1,4,7,39,4,Garo
377,7,43,0,5,2,34,3,Konkani
378,4,44,0,9,1,27,2,Punjabi
379,1,99,1,4,6,73,7,Malayalam
380,5,62,1,7,2,46,4,Sanskrit
381,7,85,0,9,8,78,8,Odia
382,6,91,1,5,2,80,8,Hindi
383,5,49,0,4,7,33,3,Bengali
384,4,85,0,9,1,68,7,Assamese
385,2,67,0,7,8,45,4,Bengali
386,4,72,1,8,0,56,6,Odia
387,3,82,0,6,2,58,6,Dogri
388,1,65,1,4,1,37,3,Meitei
389,8,94,1,8,6,88,9,Sindhi
390,5,89,0,7,4,75,8,Tamil
391,4,87,0,8,7,70,7,Kashmiri
392,8,68,0,5,1,62,6,Santali
393,7,66,0,6,7,57,6,Dogri
394,2,57,1,4,6,32,3,Hindi
395,1,79,1,9,4,53,5,Konkani
396,4,99,0,7,1,82,8,Assamese
397,8,49,1,6,9,41,4,Nepali
398,2,97,0,7,6,75,8,Kashmiri
399,3,81,1,8,9,63,6,Telugu
400,1,44,1,7,3,17,1,Urdu
401,1,49,1,7,3,24,2,Odia
402,3,89,0,8,7,69,7,Marathi
403,5,60,1,8,5,47,5,Sanskrit
404,3,63,1,6,8,43,4,Maithili
405,1,77,1,4,1,48,5,Konkani
406,1,42,1,8,4,17,1,Malayalam
407,8,79,0,6,5,75,8,Hindi
408,2,70,1,7,7,54,5,Hindi
409,3,80,0,7,3,59,6,Bodo
410,2,76,0,9,6,56,6,Kannada
411,3,41,1,5,6,20,2,Bodo
412,7,41,1,8,3,34,3,Tulu
413,1,78,0,6,0,54,5,Sanskrit
414,8,88,0,9,2,83,9,Manipuri
415,2,81,0,6,1,59,6,Gujarati
416,3,83,1,4,2,63,6,Telugu
417,9,73,1,9,4,72,7,Kashmiri
418,7,81,0,6,0,70,7,Nepali
419,4,59,0,8,4,41,4,Mizo
420,5,72,0,6,1,54,5,Kannada
421,2,43,1,5,3,21,2,Dogri
422,8,84,1,7,5,83,9,Sindhi
423,4,83,0,7,8,64,6,Telugu
424,9,50,1,9,9,51,5,Konkani
425,5,81,0,6,5,66,7,Urdu
426,9,86,1,6,9,83,9,Kashmiri
427,4,44,0,6,1,26,2,Marathi
428,5,64,1,6,7,49,5,Nepali
429,9,88,1,5,4,85,9,Bodo
430,8,99,1,8,8,95,10,Chhattisgarhi
431,3,76,1,5,9,56,6,Bodo
432,1,73,1,5,8,50,5,Kannada
433,3,48,1,5,3,23,2,Telugu
434,4,45,1,7,0,26,2,Chhattisgarhi
435,2,57,0,5,8,30,3,Khasi
436,1,53,0,6,8,28,2,Khasi
437,7,58,0,5,7,48,5,Hindi
438,8,53,1,6,4,46,4,Konkani
439,7,79,1,9,4,73,7,Dogri
440,5,56,1,8,9,45,4,Chhattisgarhi
441,1,99,0,7,5,76,8,Urdu
442,7,74,0,8,0,71,7,Telugu
443,7,68,0,9,8,60,6,Bodo
444,9,81,0,8,4,77,8,Dogri
445,3,56,0,7,6,36,3,Urdu
446,9,98,0,6,7,96,10,Nepali
447,1,82,1,9,4,62,6,Garo
448,1,47,0,9,2,22,2,Meitei
449,4,40,1,6,5,21,2,Manipuri
450,9,84,0,6,6,79,8,Punjabi
451,6,92,0,7,3,82,8,Santali
452,3,75,1,5,8,55,5,Dogri
453,1,46,1,4,3,22,2,English
454,4,85,1,5,9,70,7,Bodo
455,9,44,0,5,1,37,3,Bodo
456,3,63,0,8,8,42,4,Telugu
457,9,67,1,4,3,64,6,Dogri
458,7,82,0,6,3,72,7,Hindi
459,4,56,1,5,9,42,4,Hindi
460,3,76,0,7,0,56,6,Kashmiri
461,5,59,0,5,1,43,4,Bengali
462,5,42,0,6,2,24,2,Sanskrit
463,3,76,1,5,6,55,5,Dogri
464,9,65,0,9,8,64,6,Khasi
465,4,54,1,8,4,34,3,Nepali
466,5,90,1,8,3,78,8,Bodo
467,4,87,1,5,1,71,7,Hindi
468,5,47,1,8,6,33,3,Mizo
469,7,52,1,7,5,46,4,Konkani
470,9,87,1,4,6,86,9,Manipuri
471,7,42,1,5,7,34,3,Tamil
472,5,40,1,7,8,26,2,Hindi
473,7,48,1,9,9,44,4,Sanskrit
474,5,70,0,7,4,53,5,Santhali
475,3,80,1,7,4,61,6,Dogri
476,7,93,0,9,3,84,9,English
477,2,65,1,6,2,40,4,Bhili
478,9,56,0,5,6,53,5,Meitei
479,1,95,0,5,4,67,7,Urdu
480,6,73,0,5,6,58,6,English
481,7,48,0,4,1,41,4,Sanskrit
482,8,95,0,7,8,89,9,Meitei
483,9,90,0,5,8,85,9,Bengali
484,2,52,1,8,8,33,3,Gujarati
485,2,44,1,6,4,20,2,Meitei
486,5,80,1,9,9,66,7,Marathi
487,5,52,1,9,8,38,4,Punjabi
488,6,40,1,4,0,25,2,Konkani
489,3,64,1,9,1,43,4,Tamil
490,8,86,0,6,9,79,8,Tulu
491,1,43,1,7,4,16,1,Tamil
492,6,75,0,9,4,67,7,Meitei
493,4,91,0,9,5,80,8,Gujarati
494,1,49,0,8,7,26,2,Urdu
495,7,67,0,7,0,57,6,Punjabi
496,9,96,0,5,9,91,9,Tamil
497,4,45,0,6,8,29,3,Meitei
498,4,66,1,9,3,48,5,Bengali
499,6,95,0,8,7,84,9,Tulu
500,3,51,0,6,4,33,3,Garo
501,6,91,1,4,0,82,8,Santali
502,7,87,1,8,8,81,8,Khasi
503,3,42,1,4,7,24,2,Hindi
504,7,85,1,9,4,81,8,Santali
505,3,72,1,8,3,54,5,Garo
506,2,49,1,5,7,25,2,Manipuri
507,4,70,1,6,8,53,5,Nepali
508,8,54,0,6,6,48,5,Telugu
509,9,46,1,7,3,40,4,Santali
510,7,75,0,8,6,66,7,Telugu
511,1,53,1,8,5,29,3,Bodo
512,3,95,1,4,2,73,7,Sanskrit
513,9,87,0,8,9,89,9,Telugu
514,1,53,1,6,2,27,2,Bodo
515,9,42,1,8,0,40,4,Bengali
516,8,88,1,7,4,83,9,Nepali
517,1,92,1,7,7,69,7,Malayalam
518,6,85,1,6,5,72,7,Maithili
519,5,89,1,6,7,77,8,Hindi
520,6,42,1,6,6,32,3,Mizo
521,5,61,0,8,1,49,5,Manipuri
522,6,58,1,8,7,44,4,Santali
523,5,74,0,5,3,57,6,Khasi
524,5,51,0,9,4,34,3,Bodo
525,4,93,0,9,7,76,8,Marathi
526,3,44,0,4,4,22,2,Urdu
527,3,49,0,8,4,30,3,Sanskrit
528,4,80,0,5,5,67,7,Sindhi
529,9,72,0,5,6,71,7,Tulu
530,2,52,1,7,8,29,3,Punjabi
531,9,74,1,8,6,74,8,Bengali
532,1,90,1,5,5,67,7,Malayalam
533,1,71,0,7,9,46,4,Mizo
534,5,50,1,4,3,34,3,Bengali
535,6,87,0,7,9,76,8,Bhili
536,6,77,0,4,1,64,6,Marathi
537,3,63,1,9,8,46,4,Telugu
538,7,74,0,9,9,68,7,Maithili
539,9,58,0,6,4,58,6,Meitei
540,8,45,1,6,4,41,4,Chhattisgarhi
541,6,79,0,7,2,64,6,Nepali
542,8,93,1,6,2,84,9,Maithili
543,5,84,0,8,0,70,7,Telugu
544,8,83,0,7,4,77,8,Tulu
545,4,81,1,5,2,60,6,Bhili
546,8,74,1,8,1,65,7,Santali
547,2,43,1,7,8,21,2,Maithili
548,5,72,0,9,9,60,6,Santali
549,9,52,0,4,5,48,5,Meitei
550,4,95,1,6,2,77,8,Chhattisgarhi
551,6,75,1,6,6,63,6,Bengali
552,1,93,1,6,8,68,7,Manipuri
553,9,82,0,7,8,81,8,Chhattisgarhi
554,1,58,0,8,0,29,3,Kashmiri
555,5,82,1,4,1,66,7,Hindi
556,4,51,1,6,7,36,3,Marathi
557,3,50,1,8,0,29,3,Sindhi
558,6,45,0,5,2,32,3,Mizo
559,2,51,1,9,6,31,3,Gujarati
560,3,66,1,5,7,45,4,Bodo
561,5,80,1,4,4,65,7,Assamese
562,9,64,0,6,1,57,6,English
563,2,81,0,5,2,58,6,Chhattisgarhi
564,8,42,1,9,8,38,4,Assamese
565,2,42,0,8,9,22,2,Malayalam
566,5,59,1,8,6,48,5,Maithili
567,7,67,1,5,0,59,6,Bhili
568,8,62,1,6,2,58,6,Bhili
569,1,87,1,9,8,62,6,Mizo
570,6,42,0,4,6,30,3,Tulu
571,1,81,1,6,1,56,6,Dogri
572,2,63,1,7,5,40,4,Punjabi
573,1,82,0,5,8,59,6,Marathi
574,5,79,1,7,3,65,7,Urdu
575,9,45,0,5,9,43,4,Bodo
576,6,59,1,4,1,48,5,Chhattisgarhi
577,1,50,1,6,2,24,2,Punjabi
578,1,71,1,9,6,51,5,Dogri
579,2,99,1,6,3,81,8,Santhali
580,9,66,0,5,6,62,6,Marathi
581,3,60,1,8,4,43,4,Bodo
582,1,83,0,7,7,63,6,Odia
583,5,87,0,9,7,73,7,Khasi
584,7,89,0,9,4,76,8,Nepali
585,6,52,1,6,6,43,4,Kannada
586,1,61,0,6,5,34,3,Assamese
587,5,74,0,5,7,57,6,Mizo
588,5,86,0,8,8,72,7,Bodo
589,6,61,1,7,4,47,5,Maithili
590,3,67,1,8,6,52,5,Konkani
591,5,60,0,9,0,49,5,Punjabi
592,7,85,0,8,7,77,8,Punjabi
593,5,57,1,5,2,41,4,Punjabi
594,5,70,0,8,0,56,6,Chhattisgarhi
595,5,99,0,7,5,89,9,Maithili
596,3,85,0,9,7,65,7,Santali
597,1,76,1,4,2,49,5,Konkani
598,5,60,0,9,0,48,5,Konkani
599,9,53,0,4,2,47,5,Kashmiri
600,1,64,1,7,4,37,3,Urdu
601,3,66,0,9,7,48,5,Sanskrit
602,4,79,1,9,8,61,6,Garo
603,1,99,1,9,8,77,8,Kannada
604,1,99,1,9,3,75,8,Bodo
605,8,62,0,5,7,57,6,Khasi
606,2,70,0,6,4,45,4,Khasi
607,8,86,0,9,2,82,8,Chhattisgarhi
608,7,99,0,5,4,90,9,Sanskrit
609,2,68,0,7,1,42,4,Santali
610,6,86,0,9,5,74,8,Meitei
611,6,69,0,8,0,60,6,Santali
612,3,90,0,9,5,73,7,Garo
613,2,65,1,9,4,40,4,Kashmiri
614,1,59,0,4,8,32,3,Malayalam
615,6,77,0,8,6,67,7,Meitei
616,5,58,1,9,5,46,4,Mizo
617,9,66,0,9,6,65,7,Punjabi
618,1,64,1,9,9,42,4,Punjabi
619,7,79,0,5,4,69,7,Manipuri
620,5,77,0,7,0,62,6,Tamil
621,5,91,1,4,8,75,8,Konkani
622,2,62,1,9,4,40,4,Santhali
623,3,68,0,7,3,43,4,Malayalam
624,7,54,1,4,5,42,4,Chhattisgarhi
625,6,98,0,4,4,84,9,Kashmiri
626,2,42,0,4,0,15,1,Malayalam
627,6,49,0,9,1,39,4,Marathi
628,2,54,0,5,3,26,2,Konkani
629,2,95,0,9,7,73,7,Bodo
630,2,55,0,9,4,34,3,Malayalam
631,3,56,1,7,6,34,3,Bhili
632,2,58,1,6,1,37,3,Maithili
633,4,50,1,6,7,34,3,Malayalam
634,9,87,0,6,4,85,9,Malayalam
635,6,44,1,7,3,31,3,Santali
636,1,44,0,8,8,18,1,Garo
637,8,97,1,7,5,92,10,Nepali
638,7,53,0,4,3,44,4,Assamese
639,3,89,0,9,7,72,7,Gujarati
640,1,65,0,8,2,40,4,Bodo
641,5,47,0,4,9,31,3,Punjabi
642,4,44,0,9,1,25,2,Malayalam
643,8,46,1,9,6,44,4,English
644,1,55,0,4,3,27,2,Garo
645,1,94,1,7,3,66,7,Maithili
646,4,53,0,6,9,34,3,Sanskrit
647,8,76,0,8,8,70,7,Odia
648,5,95,0,9,1,81,8,Urdu
